time,Nusselt_number,dt,max_fluid_vel_y,middle_porosity,middle_press,middle_temp,min_fluid_vel_y,new_timestep,num_li,num_nli,one_minus_Nusselt
0,1,0,0,0.3,0.49,0.8,0,0,0,0,0
1,3.295238473452,1,14.885686677817,0.3,0.49016826155461,0.67108886390355,-14.89150572146,0.2,209,6,-2.295238473452
2,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,30,1,-2.2952384730933
3,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
4,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
5,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
6,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
7,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
8,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
9,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
10,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
11,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
12,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
13,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
14,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
15,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
16,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
17,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
18,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
19,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
20,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
21,3.2952384730933,1,14.88567333138,0.3,0.49016826155462,0.67108886379016,-14.89145949765,0.33576292510408,0,0,-2.2952384730933
