time,Nusselt_number,dt,max_fluid_vel_y,middle_porosity,middle_press,middle_temp,min_fluid_vel_y,new_timestep,num_li,num_nli,one_minus_Nusselt
0,1,0,0,0.3,0.51,0.7,0,0,0,0,0
1,3.1371808980891,0,9.7863323163773,0.3,0.51016972020892,0.60941933603693,-8.7426760165124,1e-15,217,6,-2.1371808980891

